Amsterdam,Bangkok,Barcelona,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Istanbul,Kuala Lumpur,London,Los Angeles,Madrid,Mexico City,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Stockholm,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Washington D.C.,Zurich
15,World's Top 200 Universities,20.2,0.0,3.9,35.7,25.8,69.5,2.9,0.0,23.3,5.9,0.0,0.0,8.9,45.8,0.2,0.0,91.5,60.4,0.0,0.0,0.0,0.0,0.0,100.0,23.7,57.0,45.3,0.0,19.5,0.0,35.0,40.1,25.1,6.9,29.6,21.0,19.7,3.5,5.9,30.9
16,Academic Performance in Mathematics and Science,62.7,18.9,46.3,-,61.0,45.8,56.4,-,45.8,50.9,61.0,72.3,63.0,80.6,29.0,11.3,53.4,45.8,46.3,8.1,46.1,43.3,-,45.8,72.3,49.9,45.8,0.0,74.6,100.0,82.6,42.1,57.7,72.3,72.3,62.2,62.2,54.4,45.8,63.0
17,Readiness for Accepting Foreign Researchers,25.4,16.6,14.5,26.5,31.2,45.4,21.2,0.0,25.2,22.2,27.8,11.0,22.1,17.9,8.2,1.9,43.4,33.0,10.2,8.4,17.4,9.1,17.1,50.0,16.4,36.9,32.0,16.5,25.7,31.9,43.1,27.2,19.2,10.7,25.9,23.5,19.5,28.7,29.0,33.2
18,Research and Development Expenditure,3.7,0.0,2.7,6.7,15.5,27.0,5.9,0.1,48.4,4.7,5.7,9.4,1.6,6.1,3.7,0.4,24.3,65.0,5.9,2.1,3.5,6.8,0.0,100.0,25.6,26.6,23.7,9.9,28.9,6.9,17.4,8.5,19.2,5.8,83.1,9.1,2.0,9.4,34.1,4.1
19,Number of Registered Industrial Property Rights (Patents),0.5,0.4,0.3,6.6,2.7,14.1,0.3,0.0,25.1,0.1,1.0,11.5,0.0,21.9,0.5,0.9,4.8,33.8,0.8,5.0,1.5,11.2,0.2,51.8,31.0,3.5,12.5,1.2,76.7,6.7,26.9,0.8,10.5,22.4,100.0,6.4,1.5,1.1,17.6,0.1
20,Number of Winners of Highly-Reputed Prizes (Science and Technology-related Fields),0.0,0.0,0.0,0.0,0.0,55.0,2.5,2.5,15.0,2.5,0.0,0.0,12.5,0.0,0.0,0.0,17.5,25.0,0.0,0.0,0.0,15.0,0.0,100.0,10.0,55.0,30.0,0.0,0.0,0.0,0.0,7.5,0.0,0.0,0.0,0.0,0.0,0.0,10.0,0.0
21,Interaction Opportunities between Researchers,10.9,42.9,10.3,14.1,16.7,23.1,4.5,1.3,10.3,4.5,2.6,0.0,4.5,7.7,42.9,60.3,100.0,7.7,12.2,1.3,3.2,5.8,5.1,21.8,6.4,28.2,6.4,0.0,7.7,12.8,48.1,1.3,21.8,16.7,1.9,16.7,7.1,8.3,9.0,3.8
22,Number of International Conferences Held,4.9,5.4,14.9,7.1,7.6,2.0,52.3,0.7,2.9,14.7,1.0,2.6,7.7,5.8,7.5,8.5,10.5,0.3,14.5,1.0,1.0,1.1,0.0,3.0,2.2,31.1,1.6,0.9,28.4,0.9,100.0,11.3,9.8,2.6,20.8,1.8,5.4,33.2,3.1,1.2
23,Number of Large World-Class Cultural Events Held,18.2,0.0,18.2,9.1,54.5,18.2,36.4,0.0,27.3,0.0,27.3,0.0,18.2,0.0,0.0,0.0,81.8,36.4,9.1,27.3,27.3,36.4,0.0,90.9,18.2,100.0,9.1,18.2,18.2,9.1,0.0,18.2,9.1,0.0,54.5,0.0,18.2,9.1,9.1,9.1
24,Trade Value of Audiovisual and Related Services　,3.6,-,3.7,0.4,3.1,6.4,9.8,0.4,23.5,2.8,1.9,0.1,0.0,9.5,15.5,0.9,100.0,41.5,7.6,1.1,0.3,4.6,0.8,79.6,0.3,19.1,11.9,0.1,7.0,0.4,23.4,1.9,3.2,-,0.9,13.6,3.1,2.0,12.7,0.0
25,Environment of Creative Activities,32.5,10.3,24.7,22.8,35.3,22.8,13.9,16.3,25.7,20.7,25.4,3.9,6.5,3.9,17.4,0.0,41.7,31.5,11.3,13.9,22.9,16.2,14.4,50.0,4.5,43.2,31.9,16.9,10.7,22.4,10.6,19.7,18.8,2.7,22.1,19.6,20.5,32.3,20.7,24.9
26,Number of World Heritage Sites (within 100km Area),72.7,9.1,45.5,54.5,45.5,0.0,100.0,18.2,0.0,27.3,45.5,0.0,18.2,9.1,9.1,0.0,54.5,0.0,54.5,63.6,54.5,36.4,18.2,9.1,45.5,45.5,0.0,0.0,54.5,18.2,0.0,27.3,27.3,0.0,18.2,0.0,0.0,54.5,0.0,54.5
27,Opportunities for Cultural Historical and Traditional Interaction   ,33.1,21.5,40.2,29.9,33.9,29.6,21.6,22.7,23.7,25.5,22.3,11.3,10.5,0.0,34.0,6.3,44.2,23.1,31.8,27.3,31.0,26.6,14.3,37.8,13.7,50.0,26.0,18.9,17.7,19.4,8.3,23.5,14.5,10.4,27.1,18.6,19.3,36.4,30.4,20.5
28,Number of Theaters and Concert Halls,46.1,14.5,46.1,42.1,35.5,35.5,40.8,3.9,71.1,35.5,3.9,23.7,2.6,17.1,26.3,7.9,55.3,84.2,43.4,18.4,25.0,57.9,19.7,100.0,30.3,52.6,51.3,15.8,21.1,14.5,34.2,25.0,34.2,0.0,38.2,64.5,39.5,52.6,56.6,5.3
29,Number of Museums,56.7,30.7,39.4,26.8,55.9,25.2,33.9,8.7,45.7,26.8,0.8,6.3,0.8,16.5,28.3,6.3,100.0,58.3,25.2,60.6,40.2,49.6,7.1,78.0,18.1,93.7,62.2,34.6,36.2,36.2,34.6,34.6,33.1,10.2,79.5,33.9,29.9,89.8,83.5,0.0
30,Number of Stadiums,11.1,52.8,19.4,77.8,63.9,22.2,5.6,22.2,22.2,22.2,11.1,2.8,0.0,33.3,72.2,11.1,97.2,30.6,38.9,41.7,13.9,52.8,8.3,27.8,16.7,36.1,5.6,44.4,72.2,27.8,38.9,41.7,100.0,5.6,33.3,30.6,13.9,13.9,13.9,16.7
31,Number of Luxury Hotel Guest Rooms,12.5,61.2,18.4,87.7,23.9,14.9,8.2,55.7,22.7,2.5,18.7,0.0,7.3,48.0,76.7,45.6,62.6,8.6,13.7,13.6,6.7,23.8,27.8,70.5,8.2,26.4,18.3,1.3,33.4,100.0,65.5,3.7,33.4,26.6,30.8,17.3,14.4,15.0,16.6,4.8
32,Number of Hotels,35.9,44.4,32.7,37.3,37.3,2.8,15.1,1.7,6.8,2.1,10.8,3.8,0.0,21.6,73.2,17.6,69.9,6.1,31.3,11.9,21.3,14.0,14.2,25.9,10.6,100.0,12.8,17.0,35.0,40.1,16.8,5.4,25.3,23.7,36.3,8.2,5.0,30.9,6.4,3.7
33,Attractiveness of Shopping Options,28.0,21.6,32.5,18.4,28.4,22.1,16.4,18.6,20.4,24.1,24.6,7.2,19.5,25.7,31.2,20.7,41.1,29.8,30.2,29.6,44.0,0.0,18.3,50.0,20.0,43.2,24.0,20.0,17.2,23.1,25.4,25.6,17.8,6.6,34.5,16.8,15.1,27.0,18.7,29.9
34,Attractiveness of Dining Options,31.0,29.5,42.9,15.9,32.7,25.5,20.4,13.1,25.3,16.1,28.0,9.3,5.4,22.8,25.6,19.0,42.4,29.9,33.9,35.6,24.4,0.0,19.3,50.0,29.3,39.4,30.3,21.1,18.1,29.0,33.3,17.4,20.0,17.1,39.0,23.4,20.9,29.5,30.6,31.9
35,Number of Foreign Residents,3.6,-,12.4,-,19.3,3.3,17.3,-,15.1,2.8,7.7,0.0,3.3,26.9,1.1,5.9,94.4,39.8,21.1,2.2,11.5,-,-,70.7,4.3,15.0,4.7,4.5,10.7,7.2,100.0,3.2,19.4,1.6,14.8,16.3,2.7,18.2,1.3,4.8
36,Number of Visitors from Abroad,22.7,70.8,40.8,23.7,22.1,4.9,25.2,4.1,5.5,22.0,8.4,1.3,1.6,61.4,85.3,53.8,100.0,20.2,21.8,11.6,11.3,14.9,0.2,55.8,11.9,52.9,15.7,6.8,53.4,35.9,92.5,19.1,14.3,0.0,38.8,18.7,16.2,25.0,7.4,4.2
37,Number of International Students,5.5,1.9,1.6,33.9,13.4,19.6,10.5,3.4,9.1,4.4,4.8,5.3,2.1,17.5,5.6,6.3,100.0,15.6,3.8,0.5,6.5,13.5,0.0,33.0,5.6,34.2,8.7,1.0,18.7,16.0,15.9,5.6,94.6,2.9,25.9,28.2,10.8,20.0,7.5,5.2
38,Total Unemployment Rate,57.6,98.8,0.0,96.2,78.6,71.6,5.3,60.7,55.4,73.6,69.3,79.6,77.3,86.6,52.3,87.5,66.8,53.6,26.0,73.9,67.7,100.0,85.2,63.3,80.4,65.3,76.5,58.9,83.6,83.1,93.2,72.5,80.4,83.1,83.1,62.4,73.5,54.8,65.1,85.7
39,Total Working Hours,75.9,7.7,75.2,48.5,77.5,44.2,78.9,5.4,63.8,85.8,78.8,37.1,59.0,9.7,28.8,47.6,72.0,52.9,78.5,0.0,76.1,70.4,15.2,38.3,41.9,100.0,52.9,69.2,8.2,49.9,34.6,71.0,64.7,31.7,44.4,64.6,72.1,72.1,22.6,59.7
40,Level of Satisfaction of Employees with Their Lives,40.4,15.9,37.3,7.0,37.0,40.0,24.6,1.1,30.6,42.5,35.6,34.4,24.7,12.0,3.8,0.0,39.6,33.7,25.5,7.9,19.4,0.5,15.1,50.0,21.7,36.2,43.2,1.6,15.1,25.8,38.7,41.1,39.8,9.8,29.4,32.2,37.1,38.0,34.0,39.1
41,Average House Rent,74.8,89.8,86.1,96.1,84.1,39.4,68.8,100.0,60.3,71.1,73.4,83.2,55.2,13.9,77.1,97.0,36.0,67.9,86.8,88.7,69.5,47.1,92.8,12.0,74.1,58.7,23.4,74.8,50.4,90.1,0.0,69.1,61.0,72.1,53.8,64.7,70.4,78.5,50.3,53.6
42,Price Level,43.6,72.1,46.6,65.5,49.7,10.3,45.1,89.1,40.9,12.1,31.2,12.9,4.7,48.7,50.8,76.4,30.0,45.1,53.3,77.5,40.1,57.9,100.0,13.3,8.8,34.5,42.7,63.7,55.7,71.1,1.0,23.9,34.9,60.9,1.6,47.1,48.9,37.9,14.8,0.0
43,Number of Murders per Population,88.3,85.7,84.8,95.5,93.1,51.0,85.7,83.0,0.0,89.1,47.7,93.8,100.0,95.3,74.3,76.0,93.0,58.0,95.3,52.7,91.8,33.5,92.6,72.6,89.1,90.2,54.4,42.4,88.9,96.3,98.9,83.6,93.9,86.9,94.7,88.2,94.9,92.5,24.6,96.9
44,Disaster Vulnerability,85.4,41.5,-,24.4,78.0,-,-,9.8,85.4,-,78.0,-,-,61.0,46.3,-,48.8,22.0,58.5,4.9,58.5,9.8,12.2,87.8,100.0,61.0,19.5,26.8,46.3,51.2,48.8,-,0.0,-,48.8,-,-,-,90.2,-
45,Life Expectancy at Age 60,77.8,44.4,88.9,22.2,77.8,66.7,66.7,0.0,66.7,66.7,77.8,100.0,88.9,-,44.4,22.2,77.8,66.7,88.9,55.6,88.9,0.0,0.0,66.7,100.0,88.9,66.7,44.4,77.8,22.2,88.9,77.8,88.9,-,100.0,88.9,88.9,77.8,66.7,88.9
46,Maturity of Community,45.0,5.0,35.0,15.0,45.0,35.0,40.0,0.0,40.0,40.0,45.0,40.0,50.0,45.0,5.0,25.0,40.0,35.0,40.0,20.0,35.0,15.0,5.0,30.0,40.0,40.0,40.0,20.0,30.0,10.0,35.0,50.0,50.0,30.0,40.0,50.0,50.0,50.0,35.0,50.0
47,Number of Medical Doctors per Population,48.4,0.0,61.5,33.7,50.1,56.4,63.1,36.4,34.7,63.9,100.0,50.0,77.3,35.3,19.7,14.6,46.3,30.2,65.6,45.5,87.8,66.4,5.1,32.8,42.0,99.4,53.1,45.9,36.7,26.9,21.2,78.0,38.9,49.2,46.1,35.9,37.0,76.8,82.5,88.0
48,Population Density,21.1,23.2,76.1,4.1,16.3,22.6,32.0,11.8,20.0,29.4,11.6,19.0,56.4,29.6,44.4,31.7,23.9,13.3,23.4,26.1,33.3,20.7,95.9,48.8,55.0,100.0,30.8,33.1,79.2,15.9,33.3,20.8,0.0,44.9,66.9,17.8,24.5,18.0,17.5,19.6
49,Number of International Schools per Foreign Population,5.3,-,5.3,-,4.0,7.3,2.8,-,13.5,6.7,4.4,8.9,19.0,11.3,100.0,12.4,0.6,1.0,6.8,73.1,3.7,-,-,0.0,5.6,5.9,13.1,23.7,12.9,23.7,0.7,11.9,2.4,28.5,9.7,9.1,30.1,1.9,51.9,12.7
50,Variety of Retail Shops,12.6,12.0,18.3,25.1,18.9,6.8,6.1,6.1,7.6,9.8,9.5,0.9,5.9,22.1,24.9,9.2,49.1,14.6,20.9,17.2,23.0,2.9,3.8,38.8,15.6,35.5,10.2,7.1,25.2,32.6,17.5,12.1,3.7,0.0,50.0,8.3,2.8,14.4,5.4,13.0
51,Variety of Restaurants,13.4,17.0,22.0,11.5,16.8,11.2,8.3,6.0,15.3,5.5,11.6,3.5,0.0,11.0,17.4,7.6,30.1,17.8,18.0,15.3,12.4,3.8,9.6,29.9,16.6,25.2,15.2,25.6,15.1,20.4,18.3,6.6,10.3,11.8,50.0,13.0,8.9,12.9,13.6,13.2
52,Number of Companies with ISO 14001 Certification,3.3,10.4,22.4,37.5,8.0,0.0,4.2,1.1,1.0,6.2,2.6,11.1,2.2,30.0,7.9,3.0,71.1,1.4,48.0,3.3,20.7,2.4,0.7,4.1,30.7,16.3,0.1,9.9,66.9,37.8,47.1,14.1,10.2,6.1,100.0,3.7,0.5,6.7,0.2,5.7
53,Percentage of Renewable Energy Used,9.2,43.7,27.2,24.3,24.3,13.9,11.1,7.8,13.9,56.7,24.3,9.0,47.5,0.0,23.2,12.1,9.7,13.9,27.2,19.6,30.3,4.7,61.7,13.9,9.0,17.7,13.9,100.0,0.7,24.3,4.3,83.2,9.9,2.6,9.0,41.4,41.4,68.8,13.9,47.5
54,Percentage of Waste Recycled,51.9,43.1,32.1,1.8,94.1,50.5,73.0,5.1,50.5,67.4,94.1,36.5,70.1,79.6,0.0,11.2,53.9,50.5,32.1,8.4,37.0,12.2,0.0,50.5,36.5,41.4,50.5,2.8,93.2,1.8,100.0,69.1,72.4,87.4,36.5,45.2,45.2,59.2,50.5,70.1
55,CO2 Emissions,32.4,91.0,61.0,77.1,50.8,10.7,28.8,85.0,44.0,59.2,50.8,48.5,83.6,69.7,72.2,58.9,84.4,10.7,61.0,81.7,53.5,33.5,100.0,75.5,48.5,69.3,10.7,82.5,79.4,77.1,70.5,79.4,60.7,28.8,89.3,0.0,0.0,57.2,10.7,83.6
56,Density of Suspended Particulate Matter (SPM),92.2,73.4,85.6,17.3,89.7,97.8,90.2,0.0,86.7,91.0,93.5,91.5,92.8,70.6,64.3,72.5,92.1,90.8,96.2,69.6,80.9,89.1,8.9,97.0,92.1,81.9,96.9,86.9,75.6,43.7,87.5,92.4,96.6,67.6,92.4,100.0,100.0,90.7,99.5,97.4
57,Density of Sulfur Dioxide (SO2) Density of Nitrogen Dioxide (NO2),92.7,67.4,56.9,0.0,78.3,91.7,37.4,18.4,87.1,88.0,84.1,76.1,84.2,34.0,44.8,94.7,73.9,94.1,82.1,1.3,71.6,77.9,53.0,81.7,49.2,70.3,97.1,81.5,34.9,19.9,67.5,95.6,100.0,79.8,68.0,86.8,77.5,89.9,96.4,90.8
58,Water Quality,94.9,17.9,8.2,-,73.2,61.9,26.3,50.4,28.6,89.9,95.7,91.8,98.3,34.0,-,0.0,81.4,67.0,46.7,-,69.7,-,29.8,31.3,51.6,96.5,-,17.2,100.0,25.2,63.2,-,29.9,27.1,48.8,-,52.8,84.4,88.1,-
59,Level of Green Coverage,87.5,62.5,12.5,25.0,87.5,50.0,62.5,0.0,0.0,62.5,100.0,25.0,100.0,75.0,12.5,87.5,50.0,37.5,62.5,0.0,62.5,50.0,12.5,37.5,12.5,50.0,37.5,12.5,37.5,12.5,75.0,100.0,25.0,25.0,37.5,75.0,87.5,75.0,75.0,100.0
60,Comfort Level of Temperature,37.4,45.9,71.1,33.0,33.9,34.4,40.8,77.4,25.5,29.0,38.5,61.2,38.6,78.3,59.7,58.7,50.5,90.6,58.8,90.7,46.5,0.0,55.4,43.8,57.6,44.2,74.0,100.0,37.6,56.2,56.7,8.8,89.7,79.0,61.2,14.8,38.9,36.5,48.5,30.4
61,Number of Cities with Direct International Flights,65.3,34.7,28.3,23.7,27.3,4.7,51.0,20.0,13.7,29.0,74.0,0.0,21.3,37.7,61.0,25.3,100.0,12.3,30.7,8.0,40.0,48.0,8.7,34.0,9.0,78.0,5.0,10.0,37.7,20.0,33.3,27.3,7.3,27.3,22.7,33.7,8.3,33.0,9.3,33.0
62,Number of Cities with Direct International Cargo Flights,85.7,38.1,4.8,20.6,0.0,0.0,34.9,25.4,19.0,14.3,84.1,0.0,1.6,100.0,76.2,28.6,38.1,33.3,15.9,19.0,52.4,25.4,22.2,25.4,20.6,20.6,4.8,27.0,90.5,66.7,54.0,9.5,15.9,55.6,30.2,6.3,6.3,28.6,0.0,9.5
63,Number of Arriving/Departing Passengers on International Flights,40.0,30.3,17.2,10.3,31.5,1.3,13.1,8.2,6.0,15.2,39.8,0.0,8.7,43.9,31.4,20.5,100.0,11.8,23.0,5.6,18.3,31.1,5.6,28.9,6.8,57.8,5.4,6.9,32.9,17.7,39.1,9.8,7.8,19.1,28.8,15.2,4.5,15.4,3.0,17.6
64,Number of Runways,62.5,12.5,25.0,25.0,25.0,37.5,25.0,25.0,75.0,25.0,25.0,0.0,0.0,12.5,37.5,12.5,62.5,37.5,37.5,12.5,37.5,62.5,12.5,100.0,12.5,75.0,37.5,12.5,50.0,50.0,37.5,25.0,25.0,12.5,62.5,50.0,25.0,12.5,37.5,25.0
65,Density of Railway Stations,11.8,2.2,60.3,5.5,15.9,23.6,27.3,8.5,13.3,32.9,29.3,6.6,0.0,2.8,2.6,8.9,14.9,1.8,16.0,3.7,24.0,3.4,3.6,25.8,34.8,100.0,8.5,2.3,17.2,16.7,5.9,28.4,6.9,11.8,31.5,4.6,8.0,15.2,12.5,28.5
66,Punctuality and Coverage of Public Transportation,26.0,15.7,25.8,20.2,33.6,22.3,16.3,8.5,22.6,23.1,33.2,33.8,21.0,31.4,9.2,3.5,30.9,14.2,31.7,7.5,20.0,14.9,14.9,36.2,44.1,26.7,20.1,0.0,38.0,25.9,27.6,20.4,15.9,24.5,50.0,15.8,18.4,29.1,21.4,33.9
67,Commuting Convenience,35.7,15.7,34.8,13.4,35.5,35.1,18.9,5.8,27.4,38.3,35.6,46.9,33.6,39.3,3.1,7.1,44.6,20.4,25.2,7.1,33.5,4.6,15.8,49.3,39.8,29.0,32.2,0.0,43.1,25.9,50.0,33.6,25.8,27.1,41.5,18.3,25.9,37.9,19.7,39.0
68,Travel Time between Inner-city Areas and International Airports,88.2,88.2,80.0,70.6,82.4,100.0,85.9,52.9,52.9,89.4,92.9,92.9,98.8,77.6,70.6,72.9,88.2,64.7,90.0,70.6,71.8,73.5,0.0,64.7,65.9,47.1,64.7,35.3,55.3,58.8,70.6,82.4,90.6,41.2,63.5,70.6,75.3,87.1,47.1,97.6
69,Transportation Fatalities per Population,80.8,81.7,81.0,70.2,100.0,82.7,81.7,39.1,63.5,75.2,82.0,93.8,53.5,94.5,94.4,-,94.4,56.5,91.9,78.5,57.5,46.4,59.8,81.4,93.5,82.6,78.8,0.0,78.2,75.6,83.9,65.1,96.0,82.5,97.5,95.6,89.5,98.2,89.2,85.9
70,Taxi Fare,45.9,96.4,67.7,92.2,66.1,66.8,48.2,100.0,59.9,42.3,46.3,36.4,4.2,90.9,72.8,96.5,21.5,14.1,57.1,92.3,44.1,57.2,99.0,74.5,35.5,71.2,64.6,80.5,93.0,92.2,90.3,15.6,69.9,89.5,27.4,56.9,56.9,42.5,71.0,0.0
