Amsterdam,Bangkok,Barcelona,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Istanbul,Kuala Lumpur,London,Los Angeles,Madrid,Mexico City,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Stockholm,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Washington D.C.,Zurich
11,Office Area per Employee,94.4,35.1,42.9,40.6,98.0,87.8,68.8,64.8,74.1,80.9,87.3,57.1,75.8,40.6,25.3,88.7,31.7,49.3,36.8,17.1,44.2,16.6,0.0,80.3,57.1,56.5,46.1,23.7,38.8,24.1,39.4,95.1,68.1,63.6,48.1,100.0,73.4,85.1,95.8,75.8
12,Corporate Tax Rate,63.8,72.3,42.6,63.8,44.8,0.0,25.6,63.8,0.0,63.8,44.8,8.5,80.1,100.0,85.1,63.8,68.1,0.0,42.6,42.6,36.6,85.1,32.1,0.0,8.5,28.4,0.0,25.5,67.2,63.8,97.9,58.3,42.6,97.9,8.5,59.6,59.6,63.8,0.0,80.1
13,Level of Political Economic and Business Risk,100.0,66.7,60.0,80.0,100.0,100.0,100.0,0.0,100.0,100.0,100.0,100.0,100.0,100.0,53.3,73.3,100.0,100.0,60.0,73.3,66.7,66.7,46.7,100.0,100.0,100.0,100.0,53.3,93.3,80.0,100.0,100.0,100.0,80.0,100.0,100.0,100.0,100.0,100.0,100.0
14,Number of Researchers,3.1,2.4,5.4,16.7,15.9,28.0,6.5,2.8,51.8,4.6,4.7,10.4,0.3,21.9,12.4,0.0,41.6,71.0,12.7,5.3,3.9,46.1,1.1,100.0,29.3,29.5,25.1,17.0,63.4,17.8,35.0,6.8,19.4,17.0,95.8,13.9,2.9,8.9,34.7,1.6
15,World's Top 200 Universities,24.2,0.0,0.0,41.1,23.6,73.0,0.0,0.0,28.1,9.6,0.3,0.0,9.2,53.8,0.0,0.0,100.0,72.0,0.0,0.0,0.0,0.0,0.0,93.1,27.2,73.6,52.8,5.8,21.6,0.0,38.8,41.1,34.5,9.1,33.4,24.3,23.1,5.3,8.1,40.7
16,Academic Performance in Mathematics and Science,66.9,13.8,46.9,-,63.0,51.6,60.2,-,51.6,54.9,63.0,72.1,67.7,81.5,28.1,-,56.0,51.6,46.9,11.5,47.1,40.4,-,51.6,72.1,53.1,51.6,0.0,76.3,100.0,81.5,51.6,65.1,70.8,72.1,69.0,69.0,51.8,51.6,67.7
17,Readiness for Accepting Foreign Researchers,27.0,17.4,18.0,27.4,31.1,45.2,22.4,0.0,25.2,22.9,31.9,11.2,22.2,20.7,9.9,1.6,42.7,33.9,11.3,10.3,17.9,9.7,16.9,50.0,17.1,38.2,30.0,16.8,25.3,32.5,42.4,29.7,16.9,11.2,30.8,22.7,19.1,28.6,29.0,33.2
18,Research and Development Expenditure,3.5,0.1,2.9,4.2,15.9,28.3,6.0,0.0,50.8,4.8,5.2,9.7,1.9,6.5,4.2,0.1,24.4,67.7,6.5,1.5,3.7,6.1,0.2,100.0,26.3,24.1,24.9,10.9,31.4,4.5,16.5,8.1,17.5,6.0,85.0,9.4,2.2,10.4,35.3,4.7
19,Number of Registered Industrial Property Rights (Patents),0.5,0.4,0.3,6.0,3.1,14.3,0.3,0.0,25.4,0.0,0.9,11.5,0.0,23.3,0.5,1.0,5.0,33.9,0.9,5.1,1.8,11.4,0.3,50.7,31.0,3.7,12.4,1.2,79.6,6.2,29.0,0.8,10.7,-,100.0,6.6,1.6,1.1,17.9,0.2
20,Number of Winners of Highly-Reputed Prizes (Science and Technology-related Fields),0.0,0.0,0.0,0.0,0.0,52.5,0.0,2.5,12.5,2.5,0.0,0.0,12.5,0.0,0.0,0.0,17.5,22.5,0.0,0.0,0.0,15.0,0.0,100.0,12.5,57.5,22.5,0.0,0.0,0.0,0.0,7.5,0.0,0.0,2.5,0.0,0.0,0.0,10.0,0.0
21,Interaction Opportunities Between Researchers,12.1,35.7,15.3,7.0,17.2,22.3,6.4,3.2,14.6,3.8,7.0,0.0,3.8,22.9,42.7,49.7,100.0,3.8,5.1,0.6,2.5,8.9,9.6,14.6,7.0,18.5,7.6,0.6,11.5,10.2,52.2,1.9,19.7,7.0,3.8,11.5,8.3,10.8,6.4,4.5
22,Number of International Conferences Held,11.9,8.0,15.5,8.3,14.5,1.8,46.5,0.2,2.0,10.1,0.7,1.7,11.0,3.4,8.0,5.8,9.4,0.1,12.8,1.5,1.3,1.0,0.2,3.7,1.9,37.4,3.1,0.0,26.2,2.2,100.0,10.5,10.5,2.6,14.7,2.5,1.5,29.9,4.8,1.5
23,Number of Large World-Class Cultural Events Held,20.0,0.0,20.0,10.0,60.0,20.0,40.0,0.0,30.0,0.0,30.0,0.0,20.0,0.0,0.0,0.0,90.0,40.0,10.0,30.0,20.0,40.0,0.0,100.0,20.0,100.0,10.0,10.0,20.0,10.0,0.0,20.0,10.0,0.0,60.0,0.0,20.0,10.0,10.0,10.0
24,Trade Value of Audiovisual and Related Services　,3.8,-,4.3,0.4,3.6,6.9,10.6,0.6,24.1,4.6,2.8,0.2,0.0,11.4,21.1,0.9,100.0,43.6,7.2,1.3,0.6,5.8,0.8,84.6,0.4,11.3,10.8,0.4,8.6,0.5,12.9,2.9,3.5,-,1.4,17.4,4.0,2.1,10.5,0.0
25,Environment of Creative Activities,33.4,12.0,27.2,23.8,36.6,23.2,16.0,17.3,27.3,21.6,26.6,4.1,7.4,3.9,19.8,0.0,42.5,31.6,13.3,15.5,24.8,17.1,15.3,50.0,5.2,46.2,33.0,17.5,10.8,24.3,11.1,22.0,20.3,3.2,22.4,21.2,21.1,34.1,21.6,26.1
26,Number of World Heritage Sites (within 100km Area),63.6,9.1,45.5,45.5,45.5,0.0,100.0,18.2,0.0,18.2,45.5,0.0,18.2,9.1,9.1,0.0,54.5,0.0,54.5,63.6,54.5,36.4,18.2,9.1,45.5,45.5,0.0,0.0,45.5,9.1,0.0,27.3,27.3,0.0,9.1,0.0,0.0,54.5,0.0,54.5
27,Opportunities of Cultural Historical and Traditional Interaction   ,31.9,21.6,40.5,31.4,34.3,29.9,21.7,22.8,23.9,24.7,22.9,10.6,10.9,0.0,33.9,5.7,44.0,23.5,32.3,27.5,28.9,27.4,14.4,39.6,12.4,50.0,25.9,18.7,18.5,19.2,8.4,24.1,15.4,10.4,24.7,19.0,19.1,34.3,32.0,20.9
28,Number of Theaters and Concert Halls,46.1,14.5,46.1,42.1,35.5,35.5,40.8,3.9,71.1,35.5,3.9,23.7,2.6,17.1,26.3,7.9,55.3,84.2,43.4,18.4,25.0,57.9,19.7,100.0,30.3,52.6,51.3,15.8,21.1,14.5,34.2,25.0,34.2,0.0,38.2,64.5,39.5,52.6,56.6,5.3
29,Number of Museums,52.5,32.8,41.8,28.7,59.0,27.0,36.1,6.6,42.6,28.7,1.6,4.9,0.8,18.0,30.3,4.1,80.3,61.5,27.0,63.9,45.1,51.6,9.0,100.0,20.5,84.4,68.0,34.4,36.9,38.5,36.9,36.9,35.2,6.6,88.5,36.1,25.4,91.0,87.7,0.0
30,Number of Stadiums,8.3,41.7,14.6,60.4,47.9,18.8,4.2,14.6,16.7,16.7,8.3,2.1,0.0,25.0,52.1,8.3,100.0,22.9,29.2,33.3,12.5,41.7,6.3,20.8,12.5,37.5,6.3,31.3,33.3,18.8,31.3,29.2,75.0,4.2,22.9,22.9,10.4,10.4,10.4,12.5
31,Number of Guest Rooms of Luxury Hotels,13.7,56.4,20.0,83.8,27.9,14.9,7.2,63.5,24.7,5.5,20.7,0.0,8.0,53.2,71.5,41.6,66.6,9.2,14.8,13.9,6.7,21.8,31.5,63.1,5.8,26.2,19.6,4.1,33.7,100.0,54.8,5.3,32.8,12.4,28.6,18.0,15.9,15.2,16.4,5.1
32,Number of Hotels,31.6,46.2,51.3,45.1,48.8,2.3,14.3,0.5,8.1,1.0,11.7,3.2,0.0,12.3,59.0,8.3,77.2,12.0,37.6,10.6,24.2,10.6,13.5,38.0,11.2,100.0,11.7,12.5,21.0,72.1,11.3,2.9,23.4,14.2,34.2,6.8,2.4,30.3,6.3,3.1
33,Level of Satisfaction for Shopping,28.5,22.5,33.7,19.1,27.8,22.4,16.7,18.4,21.3,23.7,24.9,5.9,19.7,27.7,33.3,21.0,40.9,30.0,29.5,31.6,41.3,0.0,18.1,50.0,19.5,43.9,23.9,19.4,18.1,24.2,24.8,28.2,18.8,6.3,33.0,17.6,15.0,28.1,18.7,30.2
34,Level of Satisfaction for Dining,32.2,34.0,49.8,18.9,33.9,26.6,20.9,13.5,26.9,16.5,29.5,7.2,5.0,26.3,29.7,19.4,45.1,30.9,35.6,39.8,25.4,0.0,20.2,50.0,27.8,46.2,32.2,21.7,22.3,33.3,31.4,19.3,21.1,19.4,36.7,24.0,21.8,32.2,32.9,33.3
35,Number of Foreign Residents,3.8,-,12.9,-,23.4,3.2,16.4,-,16.4,2.7,7.4,0.0,3.4,27.8,1.2,6.2,97.2,42.6,23.8,2.4,11.8,-,-,73.5,4.6,15.5,4.8,4.8,12.7,7.0,100.0,3.3,18.6,1.7,15.1,16.8,2.9,18.1,1.4,4.9
36,Number of Visitors from Abroad,25.0,64.5,43.8,26.9,21.1,5.8,27.1,4.8,5.1,22.7,8.2,0.8,1.9,68.5,88.5,58.7,100.0,21.4,25.9,12.3,12.6,14.8,0.4,58.9,11.7,54.9,16.2,7.8,62.3,40.3,92.9,20.8,15.1,0.0,24.4,20.6,17.9,26.2,9.2,4.4
37,Number of International Students,1.3,1.9,1.9,32.7,13.2,18.1,8.8,3.4,8.8,3.4,4.2,4.1,2.0,14.9,3.6,6.4,98.6,13.7,4.2,0.6,6.6,9.5,0.0,30.3,6.3,34.1,7.7,1.1,17.6,15.4,15.9,7.1,100.0,2.5,30.1,24.5,12.6,13.0,6.9,4.8
38,Total Unemployment Rate,83.5,100.0,7.0,72.5,42.2,52.3,46.8,0.9,18.3,79.8,42.2,63.3,79.8,78.0,10.1,80.7,58.7,0.0,7.0,78.9,49.5,53.2,71.5,26.6,61.5,43.1,44.0,35.8,81.7,72.5,74.3,54.1,72.5,73.0,69.7,55.0,55.0,76.1,29.4,79.8
39,Total Working Hours,75.9,7.7,75.2,48.5,77.5,45.7,78.9,5.4,63.8,85.8,78.8,39.1,59.0,9.7,28.8,47.6,72.0,52.9,78.5,0.0,76.1,70.4,15.2,38.3,42.4,100.0,52.9,69.2,8.2,49.9,33.5,71.0,64.7,31.7,44.4,64.6,71.2,72.1,24.9,59.7
40,Level of Satisfaction of Employees for their Lives,40.4,16.5,38.1,8.0,36.8,36.1,25.6,1.5,29.6,40.1,37.1,28.9,25.8,11.3,4.9,0.0,41.3,32.3,25.7,10.8,18.7,1.0,15.4,50.0,20.5,39.0,43.3,1.6,13.4,26.2,35.3,42.5,36.5,9.5,27.8,31.4,33.9,37.2,35.3,39.6
41,Average House Rent,71.4,88.5,84.3,95.5,81.9,27.7,64.6,100.0,54.9,67.2,69.8,81.2,49.1,2.1,74.0,96.6,27.3,63.5,85.0,87.1,65.4,39.9,91.9,0.0,71.7,53.0,39.4,71.4,43.6,88.7,9.1,64.8,55.6,68.2,47.5,59.8,66.4,75.6,35.0,47.2
42,Price Level,43.6,72.1,46.6,65.5,49.7,20.4,45.1,89.1,40.9,12.1,31.2,12.4,4.7,48.7,50.8,76.4,30.0,45.1,53.3,77.5,40.1,57.9,100.0,13.3,9.4,34.5,45.1,63.7,55.7,71.1,10.1,23.9,34.9,60.9,1.6,47.1,48.9,37.9,14.8,0.0
43,Number of Murders per Population,93.7,82.2,86.0,96.0,94.3,42.5,85.3,97.7,8.9,93.5,64.8,94.4,95.1,99.0,74.0,75.5,91.4,56.4,96.2,52.3,92.5,30.1,91.3,64.9,90.8,90.4,65.7,39.7,87.1,97.6,100.0,86.7,94.7,90.3,95.2,90.0,94.2,95.5,0.0,97.4
44,Disaster Vulnerability,85.4,41.5,-,24.4,78.0,-,-,9.8,85.4,-,78.0,-,-,61.0,46.3,-,48.8,22.0,58.5,4.9,58.5,9.8,12.2,87.8,100.0,61.0,19.5,26.8,46.3,51.2,48.8,-,0.0,-,48.8,-,-,-,90.2,-
45,Life Expectancy at Age 60,77.8,44.4,88.9,33.3,77.8,66.7,77.8,11.1,66.7,66.7,77.8,100.0,88.9,-,33.3,22.2,77.8,66.7,88.9,44.4,88.9,11.1,0.0,66.7,100.0,88.9,66.7,44.4,77.8,33.3,88.9,77.8,88.9,-,100.0,88.9,88.9,77.8,66.7,88.9
46,Maturity of Community,45.0,5.0,35.0,15.0,45.0,35.0,40.0,0.0,40.0,40.0,45.0,40.0,50.0,45.0,5.0,25.0,40.0,35.0,40.0,20.0,35.0,15.0,5.0,30.0,40.0,40.0,40.0,20.0,30.0,10.0,35.0,50.0,50.0,30.0,40.0,50.0,50.0,50.0,35.0,50.0
47,Number of Medical Doctors per Population,50.5,0.0,63.7,27.3,52.7,57.1,63.3,36.0,35.4,64.6,90.4,48.7,75.9,35.6,19.2,9.6,43.6,30.9,65.6,43.9,98.2,63.5,4.3,33.5,41.6,100.0,53.9,47.7,36.3,27.0,20.2,78.0,39.3,49.1,45.0,35.2,35.0,74.7,83.3,85.2
48,Population Density,19.1,21.3,70.0,3.7,15.6,20.4,29.0,100.0,18.3,29.8,10.7,17.3,51.3,27.1,40.0,26.7,21.5,12.1,21.5,24.0,31.0,46.4,88.1,44.5,50.5,91.7,27.9,30.4,73.2,14.4,30.6,18.8,0.0,41.1,61.0,16.4,23.6,16.5,15.7,17.8
49,Number of International Schools per Foreign Population,5.4,-,5.3,-,1.4,7.8,3.1,-,12.3,7.2,5.7,4.1,19.6,11.7,100.0,-,0.4,0.7,6.2,67.3,3.7,-,-,0.0,5.5,6.3,14.8,24.3,11.0,27.5,0.5,12.3,2.6,29.9,9.5,8.1,30.8,2.0,52.6,13.2
50,Variety of Retail Shops,13.8,12.4,20.3,22.7,20.1,8.1,5.6,6.7,9.1,10.7,10.3,1.1,7.2,22.9,25.1,9.2,43.0,15.6,22.1,19.2,22.7,2.7,4.8,38.4,16.2,35.9,11.6,7.6,25.4,33.3,15.4,14.7,5.2,0.0,50.0,10.1,3.9,16.6,6.0,14.3
51,Variety of Restaurants,8.9,21.5,14.2,14.9,12.0,14.6,4.4,8.4,22.5,3.4,7.9,5.6,0.0,23.8,13.1,10.0,33.4,23.8,10.3,22.3,6.8,4.5,11.4,50.0,14.3,22.7,16.5,20.9,12.0,17.7,25.2,4.5,20.9,15.0,33.0,15.0,13.3,10.8,16.2,8.5
52,Number of Companies with ISO 14001 Certification,2.4,8.2,17.0,29.7,6.7,0.0,2.6,0.9,0.8,2.9,1.9,11.2,1.7,25.4,5.5,2.9,61.3,1.1,35.7,2.3,20.2,1.8,0.7,3.2,30.8,14.6,0.1,9.6,58.9,30.7,39.1,13.5,8.8,5.7,100.0,3.2,0.4,5.3,0.2,4.5
53,Percentage of Renewable Energy Used,9.0,44.4,25.3,25.7,25.1,13.1,10.1,7.8,13.1,52.9,25.1,6.9,40.9,0.0,22.5,11.7,8.5,13.1,25.3,20.5,26.0,4.8,59.5,13.1,6.9,15.9,13.1,100.0,0.7,25.7,0.5,76.1,13.1,1.8,6.9,40.5,40.5,56.1,13.1,40.9
54,Percentage of Paper Recycled,96.9,-,76.4,-,98.4,63.7,78.3,-,63.7,78.5,98.4,87.6,100.0,-,52.4,-,73.1,63.7,76.4,0.0,64.0,-,-,63.7,87.6,71.1,63.7,-,91.9,-,72.7,99.3,68.0,-,87.6,57.9,57.9,93.3,63.7,100.0
55,CO2 Emissions,26.7,89.9,63.5,79.9,47.6,9.1,31.3,86.5,44.4,53.7,47.6,51.1,79.5,71.7,72.3,59.8,80.5,9.1,63.5,80.8,53.0,36.5,100.0,75.3,51.1,65.2,9.1,82.1,75.1,79.9,65.0,76.1,60.8,26.2,88.6,0.0,0.0,56.8,9.1,79.5
56,Density of Suspended Particulate Matter (SPM),72.6,38.3,68.6,28.8,94.4,95.7,85.9,0.0,91.1,95.3,94.4,80.4,84.0,51.0,64.9,90.9,98.7,91.1,82.1,72.9,86.8,96.0,39.2,91.1,80.0,100.0,92.5,90.3,72.2,28.8,82.6,87.8,98.2,39.4,82.3,96.0,96.0,76.5,91.1,88.0
57,Density of Sulfur Dioxide (SO2) Density of Nitrogen Dioxide (NO2),88.6,96.0,91.5,40.6,92.3,96.2,86.6,90.3,87.1,90.8,91.1,95.7,96.9,86.6,0.0,91.2,78.1,85.5,80.9,45.6,37.6,26.4,83.1,77.2,89.8,87.1,98.6,69.1,73.8,67.1,90.6,100.0,75.9,96.0,92.7,89.0,91.6,90.5,87.5,92.4
58,Water Quality,96.5,9.9,-,-,67.7,-,4.3,51.8,-,76.5,74.7,100.0,-,0.0,-,0.8,58.2,-,82.0,-,41.0,-,20.1,-,47.1,43.6,-,72.9,97.1,36.2,78.3,-,-,38.5,69.8,-,-,56.1,-,-
59,Level of Green Coverage,87.5,62.5,12.5,12.5,87.5,50.0,62.5,0.0,0.0,62.5,100.0,25.0,100.0,75.0,12.5,87.5,50.0,37.5,62.5,0.0,62.5,37.5,12.5,37.5,12.5,50.0,37.5,12.5,37.5,0.0,75.0,100.0,25.0,25.0,37.5,75.0,87.5,75.0,75.0,100.0
60,Comfort Level of Temperature,37.4,45.9,71.1,33.0,33.9,34.4,40.8,77.4,25.5,29.0,38.5,61.2,38.1,78.3,59.7,58.7,50.5,90.6,58.8,90.7,46.5,0.0,55.4,43.8,57.6,44.2,74.0,100.0,37.6,56.2,56.7,8.8,89.7,79.0,61.2,13.5,38.9,36.5,48.5,30.4
61,Number of Cities with Direct International Flights,67.2,32.1,27.6,22.1,29.3,4.8,56.6,23.8,12.4,33.4,77.6,0.0,20.0,36.2,57.2,24.8,100.0,15.5,33.1,8.3,40.7,49.7,9.0,35.9,10.0,77.9,4.8,9.0,39.3,18.3,35.5,25.2,7.6,26.6,23.4,36.6,8.3,35.5,9.0,36.9
62,Number of Cities with Direct International Freighter Flights,74.6,36.5,4.8,19.0,0.0,0.0,38.1,17.5,14.3,14.3,93.7,0.0,0.0,100.0,63.5,9.5,41.3,30.2,14.3,22.2,50.8,27.0,22.2,22.2,17.5,28.6,4.8,23.8,81.0,63.5,42.9,11.1,15.9,36.5,28.6,12.7,9.5,30.2,0.0,7.9
63,Number of Passengers on International Flights,39.4,27.2,16.0,9.7,12.0,0.7,13.4,7.1,6.2,14.8,39.3,0.0,7.2,42.0,27.0,19.5,100.0,11.9,25.0,5.3,17.4,22.0,5.6,28.4,6.2,57.6,5.4,7.4,29.8,11.2,35.9,9.9,7.7,17.2,25.8,14.9,4.7,14.9,3.3,17.6
64,Number of Runways,62.5,12.5,25.0,25.0,25.0,37.5,25.0,25.0,75.0,25.0,25.0,0.0,0.0,12.5,37.5,12.5,62.5,37.5,37.5,12.5,37.5,62.5,12.5,100.0,12.5,75.0,37.5,12.5,50.0,50.0,37.5,25.0,25.0,12.5,62.5,50.0,25.0,12.5,37.5,25.0
65,Density of Railway Stations,12.4,2.2,60.3,5.5,15.9,23.6,27.3,6.3,13.2,36.7,29.3,6.6,0.0,2.8,2.6,8.9,15.4,1.8,16.0,3.7,23.7,7.6,3.1,25.8,34.8,100.0,8.5,2.3,17.2,15.3,5.7,28.4,9.2,11.2,31.4,4.6,8.0,15.0,12.5,28.5
66,Punctuality and Coverage of Public Transportation,26.5,16.0,28.6,20.4,34.6,22.1,16.6,8.9,23.2,23.3,35.1,31.9,22.3,33.7,10.9,3.2,34.0,15.3,31.9,7.9,20.5,15.3,15.4,36.6,41.1,28.8,20.9,0.0,40.0,25.6,29.7,22.4,17.1,24.9,50.0,16.7,19.2,30.1,22.1,33.6
67,Commuting Convenience,36.4,15.8,36.8,13.6,33.7,31.8,20.0,5.8,27.1,37.6,39.6,38.2,34.2,40.8,4.9,5.8,48.7,19.7,25.7,9.4,34.2,4.0,15.0,50.0,37.0,33.3,30.0,0.0,44.7,24.4,44.6,34.6,24.8,25.4,42.8,18.2,27.5,37.6,19.2,38.4
68,Travel Time between Inner-city Areas and International Airports,88.2,88.2,80.0,70.6,82.4,100.0,85.9,52.9,52.9,89.4,92.9,92.9,98.8,77.6,70.6,72.9,88.2,64.7,90.0,70.6,71.8,73.5,0.0,64.7,65.9,47.1,64.7,52.9,55.3,58.8,70.6,82.4,90.6,41.2,63.5,70.6,75.3,87.1,47.1,97.6
69,Transportation Fatalities per Population,77.9,73.5,87.6,69.6,97.4,86.6,91.6,33.8,70.5,76.0,80.3,91.3,73.3,96.4,96.1,-,93.1,61.9,92.1,83.6,58.2,47.5,56.9,81.5,89.4,83.4,77.8,0.0,74.2,74.8,82.5,70.2,96.4,85.1,98.2,99.5,85.6,100.0,71.6,87.7
70,Taxi Fare,45.9,96.4,67.7,92.2,66.1,66.8,48.2,100.0,59.9,42.3,46.3,36.6,4.2,90.9,72.8,96.5,21.5,14.1,57.1,92.3,44.1,57.2,99.0,74.5,39.3,71.2,64.6,80.5,93.0,92.2,90.4,15.6,69.9,89.5,27.4,56.9,59.2,42.5,71.9,0.0
