Amsterdam,Bangkok,Beijing,Berlin,Boston,Brussels,Cairo,Chicago,Copenhagen,Frankfurt,Fukuoka,Geneva,Hong Kong,Kuala Lumpur,London,Los Angeles,Madrid,Milan,Moscow,Mumbai,New York,Osaka,Paris,San Francisco,Sao Paulo,Seoul,Shanghai,Singapore,Sydney,Taipei,Tokyo,Toronto,Vancouver,Vienna,Zurich
11,Office Space per Desk,86.7,31.7,40.0,98.0,87.2,74.8,63.2,72.9,80.0,86.7,61.6,74.7,37.8,88.2,38.1,46.9,33.9,57.1,12.7,0.0,79.4,68.2,54.5,43.7,20.1,38.1,33.3,36.2,66.7,61.7,45.7,100.0,72.2,84.4,74.7
12,Level of Economic Freedom,61.7,36.2,3.8,54.3,69.6,50.3,21.9,69.6,71.7,54.3,56.9,80.1,100.0,40.3,61.2,69.6,50.3,25.0,0.0,10.5,69.6,56.9,36.0,69.6,14.8,49.2,3.8,93.6,81.6,51.8,56.9,77.3,77.3,54.6,80.1
13,Corporate Tax Rate,62.8,44.2,64.9,46.6,2.9,27.7,85.5,2.9,64.9,46.6,0.0,80.7,100.0,64.9,52.5,2.9,44.2,38.4,85.5,27.7,2.9,0.0,30.4,2.9,27.7,68.2,64.9,97.9,44.2,97.9,0.0,40.1,40.1,64.9,80.7
14,Level of Political Economic and Business Risk,100.0,41.7,75.0,100.0,100.0,91.7,0.0,100.0,100.0,100.0,100.0,100.0,91.7,50.0,100.0,100.0,83.3,83.3,41.7,33.3,100.0,100.0,100.0,100.0,25.0,66.7,75.0,100.0,100.0,75.0,100.0,100.0,100.0,100.0,100.0
15,Number of Researchers,2.5,1.7,21.3,13.9,28.5,5.7,2.6,43.5,4.1,4.7,9.8,0.3,20.3,0.0,39.4,45.8,10.7,3.5,40.7,1.5,100.0,27.3,29.6,10.8,7.7,63.7,22.9,29.7,16.3,13.9,89.2,11.2,4.6,8.2,1.5
16,World's Top 200 Universities,23.5,2.8,40.3,28.0,71.3,0.0,0.0,25.9,20.9,0.8,6.4,17.4,81.1,0.0,100.0,59.8,0.0,0.0,14.5,1.9,99.1,20.4,57.8,48.4,0.0,29.5,19.6,39.8,42.8,0.0,45.2,23.1,21.0,7.8,37.9
17,Academic Performance in Mathematics and Science,82.1,16.9,-,77.3,63.3,73.8,-,63.3,67.4,77.3,88.5,83.1,100.0,-,68.7,63.3,57.5,57.8,49.5,-,63.3,88.5,65.2,63.3,0.0,93.6,-,100.0,79.9,86.9,88.5,84.7,84.7,63.6,83.1
18,Readiness for Accepting Foreign Researchers,16.1,7.8,10.1,21.3,47.7,11.6,0.0,8.5,6.5,16.7,0.6,16.2,21.9,9.2,47.6,31.4,4.0,6.7,4.9,7.8,50.0,2.7,32.6,27.6,2.8,12.8,10.8,47.7,7.2,3.5,36.5,9.2,15.0,5.8,12.0
19,Research and Development Expenditure,3.4,0.1,3.2,15.5,28.9,5.5,0.0,43.8,4.3,5.6,9.4,1.9,6.3,0.1,24.6,46.1,6.0,3.7,5.0,0.3,100.0,25.3,25.2,11.2,3.2,30.3,3.4,19.4,15.2,4.8,81.8,7.6,3.3,9.7,4.5
20,Number of Registered Industrial Property Rights (Patents),0.6,0.3,4.4,3.4,14.2,0.3,0.0,21.5,0.1,1.2,10.5,0.0,23.8,1.1,5.5,22.6,0.8,1.8,10.5,0.5,49.2,28.3,4.0,5.5,0.6,100.0,4.7,31.6,8.9,-,91.4,5.9,2.6,1.2,0.2
21,Number of Winners of Highly-reputed Prizes (Science and Technology-related Fields),0.0,0.0,0.0,2.9,51.4,0.0,2.9,14.3,2.9,0.0,0.0,14.3,0.0,0.0,14.3,17.1,0.0,0.0,17.1,0.0,100.0,11.4,62.9,28.6,0.0,0.0,0.0,0.0,0.0,0.0,2.9,0.0,0.0,0.0,0.0
22,Opportunities of Interactive Activities between Researchers,12.4,9.5,6.2,19.4,38.5,13.8,0.0,13.7,3.9,14.9,5.2,16.8,18.0,8.3,42.7,20.5,7.0,6.0,6.9,6.2,50.0,4.5,34.8,24.6,6.5,8.8,13.1,32.1,9.0,7.1,34.4,14.1,11.6,11.0,12.2
23,Trade Value of Audiovisual and Related Services,3.8,-,1.1,4.3,6.3,10.7,0.5,21.5,3.8,2.5,0.1,0.0,19.5,0.9,100.0,39.1,7.1,0.4,5.0,1.7,78.5,0.4,11.7,10.6,0.3,8.3,1.3,15.1,3.6,-,1.4,14.4,3.5,2.4,0.0
24,Number of Holdings of International Conventions,16.2,9.0,9.1,24.9,3.3,48.9,2.1,4.3,17.0,0.9,3.0,20.9,3.5,3.9,15.0,0.0,5.5,2.4,2.8,0.8,9.8,0.1,54.8,4.8,1.1,24.7,2.1,100.0,10.2,0.5,17.0,2.5,5.3,42.1,3.0
25,Number of Holdings of World-class Largest Cultural Events,22.2,0.0,11.1,44.4,11.1,44.4,0.0,22.2,0.0,11.1,0.0,11.1,0.0,0.0,77.8,33.3,0.0,11.1,44.4,0.0,100.0,11.1,100.0,0.0,0.0,11.1,11.1,0.0,11.1,0.0,44.4,0.0,22.2,11.1,0.0
26,Environment of Creative Activities,11.7,7.7,7.5,22.9,13.9,8.0,1.1,12.4,4.6,5.7,0.0,4.2,4.6,3.2,36.8,19.2,14.3,25.2,7.2,5.9,44.6,2.9,50.0,16.5,2.6,6.0,12.3,6.6,6.5,3.2,24.5,7.4,6.4,25.6,4.6
27,Number of Guest Rooms of Luxury Hotels,15.1,64.9,92.6,28.6,14.7,10.9,61.9,25.2,4.3,26.6,0.0,7.9,85.5,34.7,68.9,36.3,21.7,8.7,21.5,40.3,71.7,12.5,29.0,24.2,8.2,40.9,100.0,67.6,33.7,18.6,31.7,15.1,15.7,15.4,6.8
28,Number of Hotels,20.8,25.5,21.5,36.1,13.1,10.7,2.0,37.7,4.0,12.5,0.0,3.7,7.0,3.3,54.9,38.6,28.1,28.8,6.1,7.3,35.3,5.2,100.0,18.3,8.0,6.9,30.6,7.9,9.1,5.8,15.9,12.8,8.4,18.4,4.2
29,Number of World Heritage (within 100km area),77.8,11.1,55.6,55.6,0.0,100.0,22.2,0.0,22.2,55.6,0.0,11.1,11.1,0.0,66.7,0.0,66.7,55.6,44.4,22.2,11.1,55.6,55.6,0.0,0.0,44.4,11.1,0.0,22.2,0.0,0.0,0.0,0.0,66.7,55.6
30,Opportunities of Cultural Historical and Traditional Interaction,11.1,7.1,17.3,21.8,21.9,7.7,6.8,11.1,6.3,6.7,0.0,3.5,1.3,1.4,43.4,8.6,17.9,19.8,14.5,2.1,37.6,4.1,50.0,12.4,4.8,9.5,7.3,1.1,6.2,8.1,26.2,6.1,4.0,28.6,8.3
31,Number of Theaters and Concert Halls,51.6,15.6,46.9,51.6,39.1,45.3,1.6,81.3,39.1,3.1,20.3,0.0,23.4,4.7,76.6,100.0,54.7,26.6,54.7,20.3,79.7,29.7,56.3,50.0,15.6,15.6,20.3,25.0,45.3,7.8,51.6,73.4,43.8,73.4,1.6
32,Number of Museums,44.8,27.3,27.3,100.0,18.8,29.9,13.0,34.4,23.4,1.9,1.9,2.6,16.9,3.2,64.3,40.3,19.5,41.6,36.4,9.7,84.4,13.6,67.5,45.5,27.9,25.3,29.2,30.5,30.5,5.2,77.9,29.2,20.8,63.0,0.0
33,Number of Stadiums,8.1,54.1,78.4,62.2,24.3,5.4,16.2,10.8,18.9,10.8,8.1,0.0,35.1,10.8,91.9,29.7,27.0,13.5,51.4,13.5,29.7,18.9,62.2,8.1,40.5,40.5,24.3,37.8,100.0,8.1,24.3,29.7,16.2,13.5,2.7
34,Level of Satisfaction for Shopping,5.4,10.0,3.7,8.5,6.9,5.4,9.5,10.5,8.1,2.0,4.3,0.0,27.8,3.4,29.7,15.2,10.1,28.9,1.1,3.3,47.5,14.5,50.0,9.0,9.6,14.8,15.2,7.5,6.7,5.7,41.2,6.3,8.6,15.8,8.4
35,Level of Satisfaction for Dining,7.9,25.6,15.7,8.4,10.4,12.8,0.0,10.4,6.4,6.3,14.4,3.3,37.7,7.9,15.3,11.4,17.9,23.3,5.2,7.3,36.0,23.1,50.0,17.0,8.3,25.8,26.2,15.5,10.4,18.6,44.2,8.1,10.7,14.6,6.7
36,Number of Foreign Population,3.9,-,-,25.5,3.7,15.4,-,18.4,2.6,8.1,0.0,3.7,26.4,-,90.8,50.5,30.9,11.0,-,-,81.0,5.4,17.2,4.2,9.7,13.5,7.2,100.0,21.1,1.7,18.7,20.2,2.9,17.4,5.3
37,Number of Visitors from Abroad,24.4,49.9,22.8,18.9,6.4,28.9,7.5,6.7,20.5,8.2,1.0,3.2,93.8,62.0,100.0,22.2,29.1,13.0,11.9,0.0,58.8,9.7,56.4,17.1,9.7,54.2,33.3,81.6,17.6,0.8,32.3,21.9,21.2,24.6,5.6
38,Number of International Students,4.1,1.2,21.0,10.3,14.2,6.4,1.9,8.5,1.7,3.7,3.0,1.3,11.2,3.0,99.7,11.2,4.5,3.3,7.9,0.0,21.4,4.5,38.6,10.8,0.5,13.3,10.4,33.3,100.0,1.5,25.9,14.4,8.8,21.4,3.2
39,Total Working Hours,62.2,20.6,31.8,65.0,48.7,66.8,0.0,54.3,70.8,66.3,67.9,53.8,7.7,32.0,60.5,44.1,71.3,56.0,60.4,17.5,41.4,73.1,77.1,44.9,56.5,6.0,42.3,28.2,62.0,29.6,37.2,50.0,100.0,62.1,47.2
40,Level of Satisfaction of Employees for their Lives,23.8,11.5,9.5,18.1,35.8,23.1,0.0,15.4,31.3,24.3,24.9,31.1,16.2,8.9,41.7,24.4,18.8,18.3,6.6,6.5,47.5,18.3,50.0,41.8,5.8,14.9,12.0,38.9,29.0,7.7,45.6,25.3,33.5,25.1,31.2
41,Average House Rent,76.5,95.5,91.2,87.9,-,59.9,95.5,45.6,69.5,76.1,89.1,73.8,23.5,100.0,63.0,64.2,75.3,69.9,64.2,92.0,0.0,83.6,55.4,64.8,83.2,53.6,81.6,46.6,81.6,80.0,70.1,71.8,71.5,80.8,66.9
42,Price Level,47.5,61.1,74.3,49.0,20.2,42.8,83.6,42.2,13.7,36.8,21.4,2.2,44.9,85.2,29.8,34.5,47.3,50.3,63.1,100.0,18.4,18.5,32.6,25.7,38.3,50.7,65.5,31.2,31.6,62.0,11.0,24.7,26.4,32.6,0.0
43,Number of Murders per Resident,83.5,63.3,93.3,92.5,50.3,74.7,69.5,0.0,90.4,60.2,93.6,87.0,97.1,-,87.3,49.7,92.6,90.1,23.7,88.9,65.3,85.5,90.3,65.6,30.5,82.4,94.4,97.8,100.0,88.3,93.7,85.0,91.5,94.7,96.9
44,Disaster Vulnerability,85.4,41.5,24.4,78.0,-,-,9.8,85.4,-,78.0,-,-,61.0,-,48.8,22.0,58.5,58.5,9.8,12.2,87.8,100.0,61.0,19.5,26.8,46.3,51.2,48.8,0.0,-,48.8,-,-,-,-
45,Healthy Life Expectancy Rate,85.0,30.0,50.0,85.0,70.0,80.0,20.0,70.0,80.0,85.0,100.0,95.0,-,40.0,80.0,70.0,90.0,90.0,20.0,0.0,70.0,100.0,85.0,70.0,40.0,75.0,50.0,85.0,90.0,-,100.0,85.0,85.0,80.0,95.0
46,Openness and Fairness of Society,28.0,13.4,6.3,27.9,35.5,14.1,0.0,15.7,36.1,23.7,31.0,23.9,15.7,10.1,32.1,17.1,16.0,18.4,4.4,6.1,38.2,34.7,38.3,38.9,4.7,21.7,11.2,25.0,23.0,19.7,31.4,36.6,50.0,29.9,32.2
47,Population Density,20.6,19.3,4.0,16.9,22.0,30.8,92.6,19.4,33.2,11.6,18.9,56.4,29.2,30.5,22.0,13.3,24.3,33.4,49.7,98.2,48.2,56.1,100.0,30.4,33.9,82.6,15.7,32.6,0.0,45.0,67.8,17.4,25.3,18.2,19.4
48,Number of Medical Doctors per Population,47.7,0.0,26.5,50.5,64.7,63.4,36.2,35.1,59.1,97.5,47.0,75.0,35.2,10.0,45.3,30.1,57.0,80.7,63.6,5.7,34.3,41.7,100.0,55.2,20.6,34.3,28.7,20.0,31.1,47.0,42.6,31.2,57.0,77.0,86.1
49,Number of International Schools,21.7,-,-,3.3,18.8,13.0,-,39.5,20.0,12.0,9.7,50.5,32.5,-,0.8,4.4,10.0,13.0,-,-,0.0,9.9,14.5,52.2,85.1,28.6,69.2,1.7,4.9,100.0,22.0,22.9,70.6,2.6,34.1
50,Variety of Retail Shops,4.4,4.9,9.8,11.7,4.5,5.6,5.2,8.5,6.2,1.2,5.5,0.2,21.0,3.8,26.3,15.1,12.4,13.9,7.0,0.0,31.4,20.9,34.5,7.3,6.8,21.7,21.2,5.7,2.9,2.0,50.0,8.5,6.2,13.7,6.4
51,Variety of Restaurants,4.4,27.7,20.3,8.8,15.6,5.5,0.0,23.1,2.7,3.2,15.4,0.3,34.3,8.8,27.6,35.7,9.6,9.1,9.3,8.1,35.2,19.3,20.2,31.0,26.2,17.3,20.8,26.1,31.2,22.3,50.0,12.6,12.9,9.9,3.7
52,Number of Companies with ISO 14001 Certification,1.3,3.5,14.0,4.7,0.0,2.1,0.2,0.6,1.9,1.5,11.2,1.2,16.7,1.2,34.0,0.8,25.5,10.6,2.2,0.6,2.6,30.8,6.6,0.1,1.1,40.2,14.9,16.2,4.5,4.6,100.0,1.5,0.4,4.0,3.3
53,Percentage of Renewable Energy ,9.3,43.0,27.0,18.2,11.1,9.1,8.2,11.1,41.1,18.2,6.4,45.5,0.0,9.8,5.5,11.1,16.1,17.7,6.6,65.5,11.1,6.4,16.1,11.1,100.0,2.5,27.0,-,11.1,1.8,6.4,36.6,36.6,57.7,45.5
54,Percentage of Waste Recycled,92.6,-,-,96.3,14.0,48.6,-,14.0,48.9,96.3,70.7,100.0,-,-,36.2,14.0,43.9,14.7,-,-,14.0,70.7,31.5,14.0,-,80.8,-,24.6,24.2,-,70.7,0.0,0.0,84.0,100.0
55,CO2 Emissions,55.0,94.4,90.6,64.0,14.0,56.9,91.6,50.0,70.0,64.0,65.9,87.6,81.7,72.3,66.5,14.0,68.1,64.7,59.5,100.0,77.8,65.9,76.8,14.0,99.2,80.1,90.6,78.8,77.3,54.4,91.0,36.7,0.0,71.1,87.8
56,Density of Suspended Particulate Matter (SPM),78.5,49.3,37.1,95.8,95.7,89.8,0.0,92.0,95.7,95.8,79.8,90.1,57.4,91.3,100.0,92.0,82.3,87.3,96.2,44.7,92.0,82.1,99.7,84.6,90.3,78.5,37.1,78.4,98.1,50.3,83.2,97.2,97.2,80.6,88.5
57,density sulfur dioxide (so2) density nitrogen dioxide (no2),87.60,94.95,36.70,91.10,94.35,85.30,87.70,86.05,89.90,90.05,94.20,93.05,85.20,86.60,76.55,84.50,79.45,35.80,21.80,81.30,75.60,88.40,86.05,98.00,66.95,71.60,64.60,89.30,74.25,93.10,90.60,87.75,90.50,89.40,91.40
59,Water Quality,100.0,0.0,47.5,78.7,-,22.7,46.4,-,90.8,77.3,-,-,31.4,26.1,77.1,-,84.1,68.4,-,15.2,-,74.6,36.1,-,63.7,92.7,25.9,75.8,-,-,67.8,-,-,52.2,-
60,Level of Green Coverage,87.5,37.5,12.5,100.0,50.0,87.5,25.0,25.0,62.5,100.0,12.5,100.0,37.5,62.5,75.0,62.5,62.5,75.0,12.5,25.0,50.0,0.0,75.0,50.0,0.0,37.5,0.0,50.0,37.5,12.5,25.0,75.0,87.5,87.5,100.0
61,Comfort Level of Temperature,36.2,50.1,33.3,34.4,36.5,39.9,78.7,26.2,28.7,56.2,62.1,36.8,80.4,63.1,38.4,91.6,58.6,46.5,0.0,58.3,43.8,58.7,44.6,72.8,100.0,38.0,55.6,59.2,89.0,79.8,61.8,11.4,38.9,36.9,29.9
62,Travel Time between Inner-city Areas and International Airports,88.2,88.2,82.4,85.9,100.0,87.1,52.9,52.9,90.6,92.9,92.9,98.8,77.6,72.9,88.2,64.7,73.5,71.8,73.5,0.0,64.7,65.9,47.1,64.7,52.9,55.3,58.8,70.6,90.6,41.2,63.5,58.8,75.3,87.1,94.1
63,Number of Cities with International Direct Flights,68.6,31.4,17.8,28.6,3.5,55.4,24.0,11.5,31.0,83.3,0.0,20.6,34.8,26.1,100.0,13.9,38.7,41.8,47.7,8.7,42.9,10.5,83.3,4.5,8.4,37.6,17.1,31.4,7.0,21.3,23.3,35.9,6.6,36.9,38.0
64,Number of Travelers of International Flights,35.9,23.2,10.4,9.7,1.1,12.7,8.3,7.2,13.4,36.7,0.0,7.4,37.1,15.0,100.0,11.3,23.4,17.4,18.5,4.8,27.2,6.3,56.2,5.4,5.5,24.7,8.3,29.4,7.4,15.1,27.2,13.5,4.7,13.2,16.6
65,Number of Runways,62.5,12.5,25.0,25.0,37.5,25.0,25.0,75.0,25.0,25.0,0.0,0.0,12.5,12.5,62.5,37.5,37.5,37.5,62.5,12.5,100.0,12.5,75.0,37.5,12.5,50.0,50.0,37.5,25.0,12.5,62.5,50.0,25.0,12.5,25.0
66,Density of Metro Stations,10.0,1.1,3.9,17.1,30.1,16.8,7.0,12.2,42.1,28.3,6.7,0.0,2.8,9.0,15.7,2.0,14.9,15.3,5.1,3.3,26.4,34.5,100.0,8.5,2.6,16.4,14.9,3.6,9.6,9.6,31.3,3.5,8.0,12.2,0.0
67,Punctuality and Coverage of Public Transportation,10.5,7.7,8.0,18.7,10.7,6.6,0.0,10.1,10.7,18.3,29.2,13.2,19.6,4.0,28.2,8.2,7.3,7.3,5.9,4.7,24.4,37.9,24.3,9.5,2.5,20.6,9.0,24.6,9.2,11.6,50.0,10.0,9.5,10.9,11.5
68,Commuting Convenience,33.6,10.7,9.9,20.8,32.7,28.4,0.0,17.2,30.0,28.0,32.7,35.1,44.5,8.1,44.3,11.9,16.6,18.1,5.1,3.9,46.7,28.4,50.0,22.7,5.6,23.6,10.1,49.3,19.3,20.3,45.7,18.4,27.3,29.8,35.2
69,Taxi Fare,21.9,96.3,94.0,55.4,60.5,40.2,99.0,56.0,31.8,40.1,59.4,0.0,83.2,96.5,32.6,30.8,57.3,51.7,70.7,100.0,62.0,61.3,38.6,65.6,75.6,93.1,96.3,82.7,68.7,84.8,53.3,56.1,51.7,23.7,9.3
